,sessionId,trialID,networkId,sourceLevel,targetLevel,reward,step,isMissing,matchesMyopic,matchesAI
190,6422d978aff886810563382b,5,8495c7f568c413d28d0f138185d9a12c,0,0,200,7,False,True,False
191,6422d978aff886810563382b,5,8495c7f568c413d28d0f138185d9a12c,0,0,100,8,False,True,False
192,6422d978aff886810563382c,0,c657293f36177bce1c57f41c2a44a9f8,0,1,-50,1,False,True,False
193,6422d978aff886810563382c,0,c657293f36177bce1c57f41c2a44a9f8,1,0,0,2,False,True,False
194,6422d978aff886810563382c,0,c657293f36177bce1c57f41c2a44a9f8,0,0,200,3,False,True,False
195,6422d978aff886810563382c,0,c657293f36177bce1c57f41c2a44a9f8,0,0,0,4,False,True,False
196,6422d978aff886810563382c,0,c657293f36177bce1c57f41c2a44a9f8,0,0,0,5,False,True,False
197,6422d978aff886810563382c,0,c657293f36177bce1c57f41c2a44a9f8,0,1,-50,6,False,True,False
198,6422d978aff886810563382c,0,c657293f36177bce1c57f41c2a44a9f8,1,0,0,7,False,True,False
199,6422d978aff886810563382c,0,c657293f36177bce1c57f41c2a44a9f8,0,0,0,8,False,True,False
200,6422d978aff886810563382c,1,1d2a26aa2efce369aa0679e5a50d06a6,0,0,0,1,False,True,False
201,6422d978aff886810563382c,1,1d2a26aa2efce369aa0679e5a50d06a6,0,0,200,2,False,True,False
202,6422d978aff886810563382c,1,1d2a26aa2efce369aa0679e5a50d06a6,0,0,0,3,False,True,False
203,6422d978aff886810563382c,1,1d2a26aa2efce369aa0679e5a50d06a6,0,0,200,4,False,True,False
204,6422d978aff886810563382c,1,1d2a26aa2efce369aa0679e5a50d06a6,0,0,0,5,False,True,False
205,6422d978aff886810563382c,1,1d2a26aa2efce369aa0679e5a50d06a6,0,0,200,6,False,True,False
206,6422d978aff886810563382c,1,1d2a26aa2efce369aa0679e5a50d06a6,0,0,0,7,False,True,False
207,6422d978aff886810563382c,1,1d2a26aa2efce369aa0679e5a50d06a6,0,0,200,8,False,True,False
208,6422d978aff886810563382c,2,bfcc69d01d5b86958dcebec85f7b2e5e,0,0,0,1,False,True,False
209,6422d978aff886810563382c,2,bfcc69d01d5b86958dcebec85f7b2e5e,0,1,-50,2,False,True,False
210,6422d978aff886810563382c,2,bfcc69d01d5b86958dcebec85f7b2e5e,1,0,0,3,False,True,False
211,6422d978aff886810563382c,2,bfcc69d01d5b86958dcebec85f7b2e5e,0,0,0,4,False,True,False
212,6422d978aff886810563382c,2,bfcc69d01d5b86958dcebec85f7b2e5e,0,1,-50,5,False,True,False
213,6422d978aff886810563382c,2,bfcc69d01d5b86958dcebec85f7b2e5e,1,0,0,6,False,True,False
214,6422d978aff886810563382c,2,bfcc69d01d5b86958dcebec85f7b2e5e,0,0,0,7,False,True,False
215,6422d978aff886810563382c,2,bfcc69d01d5b86958dcebec85f7b2e5e,0,1,-50,8,False,True,False
216,6422d978aff886810563382c,3,2dc253beab735bac9efdec73bd49cb89,0,0,100,1,False,True,True
217,6422d978aff886810563382c,3,2dc253beab735bac9efdec73bd49cb89,0,0,0,2,False,True,False
218,6422d978aff886810563382c,3,2dc253beab735bac9efdec73bd49cb89,0,0,100,3,False,True,False
219,6422d978aff886810563382c,3,2dc253beab735bac9efdec73bd49cb89,0,0,0,4,False,True,False
220,6422d978aff886810563382c,3,2dc253beab735bac9efdec73bd49cb89,0,0,100,5,False,True,False
221,6422d978aff886810563382c,3,2dc253beab735bac9efdec73bd49cb89,0,0,0,6,False,True,False
222,6422d978aff886810563382c,3,2dc253beab735bac9efdec73bd49cb89,0,0,100,7,False,True,False
