,sessionId,isAI,expName,generation,trialIdx,trialType,networkId,score,maxLevelReached,myopic_score,ai_score
159,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,25.0,individual,c829cbf335c3168577821dfcce4680e6,1200.0,0.0,1250.0,1250.0
160,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,27.0,demonstration,aaaa32ffd5409ec56199c52248134707,300.0,2.0,1450.0,1450.0
161,63e623d186a07638e1044c4d,False,rn-iii-pilot-2B,1,28.0,demonstration,5a5bf4841592e3a130c7330e535c4a5f,600.0,1.0,850.0,850.0
162,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,8.0,try_yourself,1299563582f09584a113bc83104b5bfd,550.0,1.0,750.0,750.0
163,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,11.0,try_yourself,d4c907d4d59fa15e5e3ca1e74ee13301,1000.0,0.0,1250.0,1250.0
164,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,15.0,try_yourself,e8734b5b66bca9a8369582876f59eafe,800.0,0.0,1250.0,1250.0
165,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,18.0,try_yourself,ab3d3b15f697d6947bf443eb737dfaca,600.0,2.0,1250.0,1250.0
166,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,20.0,individual,3dcd16ab835122ca237d5b191f7b7e85,350.0,4.0,1450.0,1450.0
167,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,21.0,individual,b61897a0fbb034f08ec2b64bb6fe69ef,1350.0,1.0,1050.0,1050.0
168,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,22.0,individual,44d92125973ef5347298c03cd7a3416a,500.0,1.0,1250.0,1250.0
169,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,23.0,individual,f6984a0c0340d1d855be727dab0e860d,500.0,4.0,750.0,750.0
170,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,24.0,individual,8f35942fb5afa69e6f187a0cf4f1618a,600.0,2.0,1250.0,1250.0
171,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,25.0,individual,3af7ab5fd5640642e80809a03b1fa3c7,800.0,0.0,850.0,850.0
172,63e623d186a07638e1044c4e,False,rn-iii-pilot-2B,1,27.0,demonstration,c83906ad4f596c0a823e4de788c2404d,700.0,2.0,1650.0,1650.0
