id,trialIdx,trialType,score,maxLevelReached,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,networkId,myopic_score,ai_score,sessionId
835,15.0,try_yourself,-150.0,3.0,-50.0,-50.0,-50.0,-50.0,-50.0,200.0,-50.0,-50.0,ffac4c7b6e9a1d6afaa0d18b45bd17a4,550.0,1250.0,6422d978aff8868105633835
835,17.0,try_yourself,600.0,2.0,200.0,-50.0,-50.0,400.0,0.0,200.0,-50.0,-50.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633835
835,19.0,try_yourself,850.0,4.0,200.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,200.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633835
835,20.0,try_yourself,800.0,4.0,-50.0,200.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633835
835,22.0,try_yourself,1450.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,200.0,400.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633835
835,24.0,individual,1450.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,200.0,400.0,2982eadd7289c898bd3abc510c94330d,250.0,1250.0,6422d978aff8868105633835
835,25.0,individual,1050.0,4.0,-50.0,-50.0,-50.0,200.0,200.0,200.0,200.0,400.0,5ea5e6aef62c6857db6990a8955ebe62,400.0,1250.0,6422d978aff8868105633835
835,26.0,individual,1650.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,400.0,400.0,400.0,7844225719e3ebf6a2ddd97c7674256c,800.0,1650.0,6422d978aff8868105633835
835,27.0,individual,550.0,4.0,-50.0,-50.0,400.0,-50.0,-50.0,-50.0,200.0,200.0,b25cbf1a6c9fcc2202610a2c6d0a9677,800.0,850.0,6422d978aff8868105633835
835,29.0,demonstration,1000.0,2.0,-50.0,-50.0,400.0,200.0,200.0,-50.0,-50.0,400.0,6c40731a43cb4d173ab20f29d9484f0a,1400.0,1050.0,6422d978aff8868105633835
835,30.0,demonstration,1250.0,4.0,-50.0,-50.0,-50.0,200.0,400.0,200.0,400.0,200.0,00ce9158e0402fba179f837d8fdabe1b,650.0,1250.0,6422d978aff8868105633835
836,4.0,individual,1000.0,2.0,-50.0,-50.0,400.0,200.0,-50.0,-50.0,400.0,200.0,7f75a5d863126faaf87cfbb1950f37df,800.0,1250.0,6422d978aff8868105633836
836,5.0,individual,-150.0,3.0,100.0,-50.0,0.0,0.0,-50.0,-50.0,-50.0,-50.0,396a769fc7b9a1cd199fe20a1dd60cc3,1000.0,1250.0,6422d978aff8868105633836
836,10.0,try_yourself,550.0,2.0,100.0,-50.0,0.0,-50.0,-50.0,400.0,0.0,200.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633836
836,12.0,try_yourself,600.0,0.0,200.0,0.0,0.0,100.0,200.0,0.0,0.0,100.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633836
836,13.0,try_yourself,-100.0,1.0,-50.0,200.0,-50.0,200.0,-50.0,-50.0,-50.0,-50.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633836
836,15.0,try_yourself,750.0,1.0,200.0,100.0,-50.0,200.0,-50.0,200.0,-50.0,200.0,3706dc98663f54690dbb9ea5c694ba5c,1100.0,1450.0,6422d978aff8868105633836
836,17.0,try_yourself,800.0,2.0,200.0,0.0,-50.0,-50.0,400.0,-50.0,-50.0,400.0,6432e2a0cd8bcd98e8be048855473b47,600.0,850.0,6422d978aff8868105633836
