,network_id,strategy,step,source_node,current_node,reward,total_reward
162,a655a557466e7af834e6e7a6c001f199,myopic,3,0,5,0,100
163,a655a557466e7af834e6e7a6c001f199,myopic,4,5,0,100,200
164,a655a557466e7af834e6e7a6c001f199,myopic,5,0,5,0,200
165,a655a557466e7af834e6e7a6c001f199,myopic,6,5,0,100,300
166,a655a557466e7af834e6e7a6c001f199,myopic,7,0,5,0,300
167,a655a557466e7af834e6e7a6c001f199,myopic,8,5,0,100,400
168,d5f2c8d388501884fb9f1edac4291037,myopic,1,2,8,0,0
169,d5f2c8d388501884fb9f1edac4291037,myopic,2,8,2,200,200
170,d5f2c8d388501884fb9f1edac4291037,myopic,3,2,8,0,200
171,d5f2c8d388501884fb9f1edac4291037,myopic,4,8,2,200,400
172,d5f2c8d388501884fb9f1edac4291037,myopic,5,2,8,0,400
173,d5f2c8d388501884fb9f1edac4291037,myopic,6,8,2,200,600
174,d5f2c8d388501884fb9f1edac4291037,myopic,7,2,8,0,600
175,d5f2c8d388501884fb9f1edac4291037,myopic,8,8,2,200,800
176,a5dde7cfcaa6790b67f64ba90a42bd19,myopic,1,7,6,200,200
177,a5dde7cfcaa6790b67f64ba90a42bd19,myopic,2,6,4,200,400
178,a5dde7cfcaa6790b67f64ba90a42bd19,myopic,3,4,6,100,500
179,a5dde7cfcaa6790b67f64ba90a42bd19,myopic,4,6,4,200,700
180,a5dde7cfcaa6790b67f64ba90a42bd19,myopic,5,4,8,100,800
181,a5dde7cfcaa6790b67f64ba90a42bd19,myopic,6,8,4,0,800
182,a5dde7cfcaa6790b67f64ba90a42bd19,myopic,7,4,8,100,900
183,a5dde7cfcaa6790b67f64ba90a42bd19,myopic,8,8,4,0,900
184,686c20c4c0f4c04c2cd7f9e699903582,myopic,1,9,2,0,0
185,686c20c4c0f4c04c2cd7f9e699903582,myopic,2,2,9,0,0
186,686c20c4c0f4c04c2cd7f9e699903582,myopic,3,9,2,0,0
187,686c20c4c0f4c04c2cd7f9e699903582,myopic,4,2,9,0,0
188,686c20c4c0f4c04c2cd7f9e699903582,myopic,5,9,2,0,0
189,686c20c4c0f4c04c2cd7f9e699903582,myopic,6,2,9,0,0
190,686c20c4c0f4c04c2cd7f9e699903582,myopic,7,9,2,0,0
191,686c20c4c0f4c04c2cd7f9e699903582,myopic,8,2,9,0,0
192,396a769fc7b9a1cd199fe20a1dd60cc3,myopic,1,7,6,100,100
193,396a769fc7b9a1cd199fe20a1dd60cc3,myopic,2,6,2,0,100
194,396a769fc7b9a1cd199fe20a1dd60cc3,myopic,3,2,9,200,300
195,396a769fc7b9a1cd199fe20a1dd60cc3,myopic,4,9,7,200,500
196,396a769fc7b9a1cd199fe20a1dd60cc3,myopic,5,7,6,100,600
197,396a769fc7b9a1cd199fe20a1dd60cc3,myopic,6,6,2,0,600
198,396a769fc7b9a1cd199fe20a1dd60cc3,myopic,7,2,9,200,800
199,396a769fc7b9a1cd199fe20a1dd60cc3,myopic,8,9,7,200,1000
200,5e6001546ed70b1a147e50dcf319729b,myopic,1,8,4,0,0
201,5e6001546ed70b1a147e50dcf319729b,myopic,2,4,7,100,100
202,5e6001546ed70b1a147e50dcf319729b,myopic,3,7,5,200,300
203,5e6001546ed70b1a147e50dcf319729b,myopic,4,5,4,0,300
204,5e6001546ed70b1a147e50dcf319729b,myopic,5,4,7,100,400
205,5e6001546ed70b1a147e50dcf319729b,myopic,6,7,5,200,600
206,5e6001546ed70b1a147e50dcf319729b,myopic,7,5,4,0,600
207,5e6001546ed70b1a147e50dcf319729b,myopic,8,4,7,100,700
208,5d94ab3c1e2b41709db1dc7831197ccd,myopic,1,1,6,-50,-50
209,5d94ab3c1e2b41709db1dc7831197ccd,myopic,2,6,8,0,-50
210,5d94ab3c1e2b41709db1dc7831197ccd,myopic,3,8,7,100,50
211,5d94ab3c1e2b41709db1dc7831197ccd,myopic,4,7,8,200,250
212,5d94ab3c1e2b41709db1dc7831197ccd,myopic,5,8,7,100,350
213,5d94ab3c1e2b41709db1dc7831197ccd,myopic,6,7,8,200,550
214,5d94ab3c1e2b41709db1dc7831197ccd,myopic,7,8,7,100,650
215,5d94ab3c1e2b41709db1dc7831197ccd,myopic,8,7,8,200,850
216,85eabf6a4a179f26f0b31e228e1ee12c,myopic,1,4,3,200,200
217,85eabf6a4a179f26f0b31e228e1ee12c,myopic,2,3,4,0,200
218,85eabf6a4a179f26f0b31e228e1ee12c,myopic,3,4,3,200,400
219,85eabf6a4a179f26f0b31e228e1ee12c,myopic,4,3,4,0,400
220,85eabf6a4a179f26f0b31e228e1ee12c,myopic,5,4,3,200,600
221,85eabf6a4a179f26f0b31e228e1ee12c,myopic,6,3,4,0,600
222,85eabf6a4a179f26f0b31e228e1ee12c,myopic,7,4,3,200,800
223,85eabf6a4a179f26f0b31e228e1ee12c,myopic,8,3,4,0,800
224,bfcc69d01d5b86958dcebec85f7b2e5e,myopic,1,1,6,0,0
225,bfcc69d01d5b86958dcebec85f7b2e5e,myopic,2,6,9,-50,-50
226,bfcc69d01d5b86958dcebec85f7b2e5e,myopic,3,9,1,0,-50
227,bfcc69d01d5b86958dcebec85f7b2e5e,myopic,4,1,6,0,-50
228,bfcc69d01d5b86958dcebec85f7b2e5e,myopic,5,6,9,-50,-100
229,bfcc69d01d5b86958dcebec85f7b2e5e,myopic,6,9,1,0,-100
230,bfcc69d01d5b86958dcebec85f7b2e5e,myopic,7,1,6,0,-100
231,bfcc69d01d5b86958dcebec85f7b2e5e,myopic,8,6,0,-50,-150
232,393f4397e98c6c15b7d38c7bdadf386f,myopic,1,4,7,0,0
233,393f4397e98c6c15b7d38c7bdadf386f,myopic,2,7,6,0,0
234,393f4397e98c6c15b7d38c7bdadf386f,myopic,3,6,8,200,200
235,393f4397e98c6c15b7d38c7bdadf386f,myopic,4,8,4,0,200
236,393f4397e98c6c15b7d38c7bdadf386f,myopic,5,4,7,0,200
237,393f4397e98c6c15b7d38c7bdadf386f,myopic,6,7,6,0,200
238,393f4397e98c6c15b7d38c7bdadf386f,myopic,7,6,8,200,400
239,393f4397e98c6c15b7d38c7bdadf386f,myopic,8,8,4,0,400
240,9bea7eb62b55a08ef612a67888b55126,myopic,1,0,1,100,100
241,9bea7eb62b55a08ef612a67888b55126,myopic,2,1,0,100,200
242,9bea7eb62b55a08ef612a67888b55126,myopic,3,0,1,100,300
243,9bea7eb62b55a08ef612a67888b55126,myopic,4,1,0,100,400
244,9bea7eb62b55a08ef612a67888b55126,myopic,5,0,1,100,500
245,9bea7eb62b55a08ef612a67888b55126,myopic,6,1,0,100,600
246,9bea7eb62b55a08ef612a67888b55126,myopic,7,0,1,100,700
247,9bea7eb62b55a08ef612a67888b55126,myopic,8,1,0,100,800
248,8dc7e06bc85704fe3dc78eaa92016510,myopic,1,3,2,0,0
249,8dc7e06bc85704fe3dc78eaa92016510,myopic,2,2,8,200,200
250,8dc7e06bc85704fe3dc78eaa92016510,myopic,3,8,2,0,200
251,8dc7e06bc85704fe3dc78eaa92016510,myopic,4,2,8,200,400
252,8dc7e06bc85704fe3dc78eaa92016510,myopic,5,8,2,0,400
253,8dc7e06bc85704fe3dc78eaa92016510,myopic,6,2,8,200,600
254,8dc7e06bc85704fe3dc78eaa92016510,myopic,7,8,2,0,600
255,8dc7e06bc85704fe3dc78eaa92016510,myopic,8,2,8,200,800
256,77904613420735578615edf801ac29fc,myopic,1,7,8,200,200
257,77904613420735578615edf801ac29fc,myopic,2,8,7,200,400
258,77904613420735578615edf801ac29fc,myopic,3,7,8,200,600
259,77904613420735578615edf801ac29fc,myopic,4,8,7,200,800
260,77904613420735578615edf801ac29fc,myopic,5,7,8,200,1000
261,77904613420735578615edf801ac29fc,myopic,6,8,7,200,1200
262,77904613420735578615edf801ac29fc,myopic,7,7,8,200,1400
263,77904613420735578615edf801ac29fc,myopic,8,8,7,200,1600
264,7e9030d68efca4293d838c4d9e23ea38,myopic,1,8,4,200,200
265,7e9030d68efca4293d838c4d9e23ea38,myopic,2,4,5,0,200
266,7e9030d68efca4293d838c4d9e23ea38,myopic,3,5,8,100,300
267,7e9030d68efca4293d838c4d9e23ea38,myopic,4,8,4,200,500
268,7e9030d68efca4293d838c4d9e23ea38,myopic,5,4,5,0,500
