,network_id,strategy,step,source_node,current_node,reward,total_reward
87,92830783df31813c7ac48676c76be1c1,random,8,5,4,-50,650
88,6006be3fb9b56d1b365041ce62ebc787,random,1,9,5,0,0
89,6006be3fb9b56d1b365041ce62ebc787,random,2,5,7,-50,-50
90,6006be3fb9b56d1b365041ce62ebc787,random,3,7,6,-50,-100
91,6006be3fb9b56d1b365041ce62ebc787,random,4,6,2,-50,-150
92,6006be3fb9b56d1b365041ce62ebc787,random,5,2,0,200,50
93,6006be3fb9b56d1b365041ce62ebc787,random,6,0,4,200,250
94,6006be3fb9b56d1b365041ce62ebc787,random,7,4,2,400,650
95,6006be3fb9b56d1b365041ce62ebc787,random,8,2,0,200,850
96,b5e1185c95ad881cf882252b7e8fe84a,random,1,1,7,0,0
97,b5e1185c95ad881cf882252b7e8fe84a,random,2,7,1,0,0
98,b5e1185c95ad881cf882252b7e8fe84a,random,3,1,9,200,200
99,b5e1185c95ad881cf882252b7e8fe84a,random,4,9,1,200,400
100,b5e1185c95ad881cf882252b7e8fe84a,random,5,1,9,200,600
101,b5e1185c95ad881cf882252b7e8fe84a,random,6,9,1,200,800
102,b5e1185c95ad881cf882252b7e8fe84a,random,7,1,9,200,1000
103,b5e1185c95ad881cf882252b7e8fe84a,random,8,9,5,-50,950
104,977134714768ced9d234a0f8390cff49,random,1,0,3,0,0
105,977134714768ced9d234a0f8390cff49,random,2,3,6,0,0
106,977134714768ced9d234a0f8390cff49,random,3,6,7,-50,-50
107,977134714768ced9d234a0f8390cff49,random,4,7,6,0,-50
108,977134714768ced9d234a0f8390cff49,random,5,6,0,100,50
109,977134714768ced9d234a0f8390cff49,random,6,0,3,0,50
110,977134714768ced9d234a0f8390cff49,random,7,3,7,-50,0
111,977134714768ced9d234a0f8390cff49,random,8,7,9,-50,-50
112,f4a21524d32d139f43f38cf5e2de868b,random,1,5,8,200,200
113,f4a21524d32d139f43f38cf5e2de868b,random,2,8,5,100,300
114,f4a21524d32d139f43f38cf5e2de868b,random,3,5,8,200,500
115,f4a21524d32d139f43f38cf5e2de868b,random,4,8,4,-50,450
116,f4a21524d32d139f43f38cf5e2de868b,random,5,4,5,0,450
117,f4a21524d32d139f43f38cf5e2de868b,random,6,5,1,200,650
118,f4a21524d32d139f43f38cf5e2de868b,random,7,1,4,-50,600
119,f4a21524d32d139f43f38cf5e2de868b,random,8,4,7,-50,550
120,3ecff30189f7eb8392c67f31902b782b,random,1,8,9,200,200
121,3ecff30189f7eb8392c67f31902b782b,random,2,9,6,-50,150
122,3ecff30189f7eb8392c67f31902b782b,random,3,6,2,-50,100
123,3ecff30189f7eb8392c67f31902b782b,random,4,2,9,400,500
124,3ecff30189f7eb8392c67f31902b782b,random,5,9,7,0,500
125,3ecff30189f7eb8392c67f31902b782b,random,6,7,9,200,700
126,3ecff30189f7eb8392c67f31902b782b,random,7,9,6,-50,650
127,3ecff30189f7eb8392c67f31902b782b,random,8,6,7,0,650
128,8d353c693eb684f6a3ed4c9fae77de14,random,1,5,9,-50,-50
129,8d353c693eb684f6a3ed4c9fae77de14,random,2,9,1,0,-50
130,8d353c693eb684f6a3ed4c9fae77de14,random,3,1,5,0,-50
131,8d353c693eb684f6a3ed4c9fae77de14,random,4,5,1,100,50
132,8d353c693eb684f6a3ed4c9fae77de14,random,5,1,5,0,50
133,8d353c693eb684f6a3ed4c9fae77de14,random,6,5,9,-50,0
134,8d353c693eb684f6a3ed4c9fae77de14,random,7,9,3,-50,-50
135,8d353c693eb684f6a3ed4c9fae77de14,random,8,3,0,-50,-100
136,d42351c19aaf4eb5aa98ad312016e815,random,1,8,4,100,100
137,d42351c19aaf4eb5aa98ad312016e815,random,2,4,7,0,100
138,d42351c19aaf4eb5aa98ad312016e815,random,3,7,2,0,100
139,d42351c19aaf4eb5aa98ad312016e815,random,4,2,4,100,200
140,d42351c19aaf4eb5aa98ad312016e815,random,5,4,7,0,200
141,d42351c19aaf4eb5aa98ad312016e815,random,6,7,2,0,200
142,d42351c19aaf4eb5aa98ad312016e815,random,7,2,0,-50,150
143,d42351c19aaf4eb5aa98ad312016e815,random,8,0,2,0,150
144,b7bb92f3f3d58af9427a2e8ec5a5763a,random,1,3,9,0,0
145,b7bb92f3f3d58af9427a2e8ec5a5763a,random,2,9,6,-50,-50
146,b7bb92f3f3d58af9427a2e8ec5a5763a,random,3,6,8,0,-50
147,b7bb92f3f3d58af9427a2e8ec5a5763a,random,4,8,5,-50,-100
148,b7bb92f3f3d58af9427a2e8ec5a5763a,random,5,5,8,200,100
